SN,Close
1,1450
2,1480
3,1499
4,1524
5,1485
6,1485
7,1452.5
8,1420
9,1430
10,1450
11,1460
12,1366.1
13,1421
14,1452.9
15,1456.8
16,1475
17,1485
18,1474
19,1512
20,1524.2
21,1521
22,1526
23,1523
24,1538
25,1545
26,1537
27,1546
28,1544
29,1547
30,1556
31,1559
32,1540
33,1548
34,1550
35,1579
36,1614.7
37,1653
38,1608
39,1620
40,1580
41,1598
42,1606
43,1569
44,1497
45,1470.9
46,1471
47,1460
48,1431
49,1468
50,1482
51,1450
52,1474
53,1444.9
54,1410
55,1397
56,1395
57,1407
58,1408
59,1395
60,1415
61,1431
62,1438
63,1424.4
64,1389
65,1393
66,1424.5
67,1445
68,1453
69,1455
70,1440
71,1410
72,1415
73,1429.9
74,1442
75,1388
76,1418
77,1420
78,1419
79,1433
80,1450
81,1459
82,1477
83,1490
84,1495
85,1495
86,1507.4
87,1505
88,1519
89,1514
90,1512
91,1494
92,1494
93,1488
94,1488.9
95,1490
96,1487
97,1480
98,1477
99,1482
100,1489
101,1492
102,1499.5
103,1459
104,1454
105,1451
106,1440
107,1359
108,1349
109,1347
110,1338
111,1345
112,1317
113,1299
114,1301
115,1297
116,1298
117,1297
118,1296
119,1296
120,1302
121,1298
122,1286
123,1291
124,1298
125,1285
126,1297
127,1309
128,1308
129,1312
130,1309
131,1304
132,1304
133,1310
134,1315
135,1316
136,1330
137,1309
138,1293
139,1292
140,1285
141,1300
142,1294
143,1306
144,1320
145,1312
146,1300
147,1302
148,1308
149,1308
150,1288
151,1267
152,1262
153,1265
154,1260
155,1259
156,1265
157,1266
158,1274
159,1284
160,1275
161,1270
162,1264
163,1279
164,1235
165,1270
166,1298
167,1294
168,1315
169,1318
170,1335
171,1370
172,1380
173,1348
174,1330
175,1317
176,1311
177,1315
178,1316
179,1283
180,1294
181,1236
182,1232
183,1227
184,1239
185,1234
186,1244
187,1260
188,1243
189,1219
190,1207
191,1205
192,1215
193,1255
194,1275
195,1285
196,1300
197,1244
198,1274
199,1314
200,1296
201,1322
202,1350
203,1335
204,1319
205,1355
206,1367
207,1391
208,1365
209,1321
210,1221
211,1213
212,1176
213,1163
214,1165
215,1114
216,1116
217,1120
218,1129
219,1120
220,1110
221,1145
222,1182
223,1168
224,1176
225,1115
226,1109
227,1103
228,1117
229,1128
230,1128
231,1132
232,1140
233,1125
234,1126
235,1091
236,1096
237,1097
238,1111
239,1125
240,1100
241,1101
242,1386
243,1379
244,1384
245,1425
246,1489
247,1354
248,1231
249,1205
250,1235
251,1248
252,1240
253,1227
254,1159
255,1120
256,1101
257,1124
258,1118
259,1078
260,1140
261,1125
262,1119
263,1159
264,1185
265,1130
266,1025
267,972
268,978
269,965
270,905
271,901
272,887
273,883
274,879
275,862
276,870
277,880
278,888
279,888
280,886
281,894
282,902
283,903
284,885
285,880
286,868
287,863
288,859
289,860
290,860
291,864
292,864
293,866
294,869
295,872
296,877
297,876
298,880
299,867
300,859
301,864
302,871
303,874
304,875
305,874
306,872
307,883
308,880
309,859
310,853
311,856
312,856
313,849
314,845
315,844
316,846
317,849
318,855
319,860
320,858
321,839
322,839
323,845
324,841
325,830
326,830
327,824
328,817
329,822
330,830
331,822
332,822
333,825
334,836
335,830
336,832
337,813
338,814
339,824
340,824
341,820
342,851
343,845
344,854
345,862
346,861
347,850
348,846
349,865
350,879
351,869
352,790
353,765
354,745
355,742
356,747
357,742
358,741
359,744
360,737
361,729
362,720
363,770
364,725
